   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.216     119.952240      -1.926360      26.003710      5.00      5.00    97.486    31.787   134.884   -185.00    -15.00    1
    2     0.410     119.950684      -1.881170      26.003710      5.00      5.00   220.046    75.211    73.491   -180.00    -15.00    0
    3     0.609     119.949112      -1.835980      26.003710      5.00      5.00   222.555    76.996    78.167   -175.00    -15.00    0
    4     0.677     119.947540      -1.790790      26.003710      5.00      5.00    81.606    20.626   125.483   -170.00    -15.00    1
    5     0.626     119.945969      -1.745600      26.003710      5.00      5.00    71.897    21.506   114.442   -165.00    -15.00    1
    6     0.499     119.944397      -1.700410      26.003710      5.00      5.00     6.968    37.357    26.243   -160.00    -15.00    0
    7     0.506     119.942841      -1.655220      26.003710      5.00      5.00     1.081    48.753    11.040   -155.00    -15.00    0
    8     0.466     119.941269      -1.610030      26.003710      5.00      5.00     3.941    51.558    23.480   -150.00    -15.00    0
    9     0.451     119.939697      -1.564840      26.003710      5.00      5.00   359.386    61.912    38.289   -145.00    -15.00    0
   10     0.449     119.938133      -1.519650      26.003710      5.00      5.00   348.595    73.509    50.133   -140.00    -15.00    0
   11     0.440     119.936562      -1.474460      26.003710      5.00      5.00   352.981    74.173    60.956   -135.00    -15.00    0
   12     0.432     119.934998      -1.429270      26.003710      5.00      5.00     8.593    71.977    76.469   -130.00    -15.00    0
   13     0.445     119.933434      -1.384080      26.003710      5.00      5.00   209.522    18.047    90.418   -125.00    -15.00    0
   14     0.486     119.931862      -1.338890      26.003710      5.00      5.00    32.806    73.743    83.855   -120.00    -15.00    0
   15     0.425     119.930290      -1.293690      26.003710      5.00      5.00   205.294    11.928    76.873   -115.00    -15.00    0
   16     0.493     119.928726      -1.248500      26.003710      5.00      5.00   166.590    27.886    12.350   -110.00    -15.00    0
   17     0.562     119.927162      -1.203310      26.003710      5.00      5.00   179.154    37.181    12.776   -105.00    -15.00    0
   18     0.535     119.925591      -1.158120      26.003710      5.00      5.00   181.998    63.978    12.076   -100.00    -15.00    0
   19     0.606     119.924026      -1.112930      26.003710      5.00      5.00   175.513    89.138    17.131    -95.00    -15.00    0
   20     0.748     119.922462      -1.067740      26.003710      5.00      5.00   357.400    84.374   -19.257    -90.00    -15.00    0
   21     0.867     119.920891      -1.022550      26.003710      5.00      5.00     0.081    80.760   -20.246    -85.00    -15.00    0
   22     0.946     119.919319      -0.977360      26.003710      5.00      5.00   359.608    77.637   -19.933    -80.00    -15.00    0
   23     1.013     119.917763      -0.932170      26.003710      5.00      5.00   357.783    75.737   -22.184    -75.00    -15.00    0
   24     1.016     119.916191      -0.886980      26.003710      5.00      5.00   354.997    77.061   -21.823    -70.00    -15.00    0
   25     0.956     119.914619      -0.841790      26.003710      5.00      5.00   353.105    71.805   -15.729    -65.00    -15.00    0
   26     0.885     119.913063      -0.796600      26.003710      5.00      5.00   350.413    70.515   -14.087    -60.00    -15.00    0
   27     0.842     119.911491      -0.751410      26.003710      5.00      5.00   347.209    77.479   -12.864    -55.00    -15.00    0
   28     0.773     119.909920      -0.706210      26.003710      5.00      5.00   348.233    86.557    -1.663    -50.00    -15.00    0
   29     0.740     119.908363      -0.661020      26.003710      5.00      5.00   349.046    85.989    15.335    -45.00    -15.00    0
   30     0.776     119.906792      -0.615830      26.003710      5.00      5.00   352.070    72.737    22.133    -40.00    -15.00    0
   31     0.839     119.905220      -0.570640      26.003710      5.00      5.00   351.088    61.331    16.120    -35.00    -15.00    0
   32     0.834     119.903664      -0.525450      26.003710      5.00      5.00   352.467    60.148    17.718    -30.00    -15.00    0
   33     0.864     119.902092      -0.480260      26.003710      5.00      5.00   356.069    60.713    17.278    -25.00    -15.00    0
   34     0.923     119.900528      -0.435070      26.003710      5.00      5.00   357.593    61.617    14.844    -20.00    -15.00    0
   35     0.967     119.898956      -0.389880      26.003710      5.00      5.00   358.226    62.608    14.255    -15.00    -15.00    0
   36     1.043     119.897392      -0.344690      26.003710      5.00      5.00   359.384    55.600    10.356    -10.00    -15.00    0
   37     1.081     119.895828      -0.299500      26.003710      5.00      5.00     2.165    52.121    14.085     -5.00    -15.00    0
   38     1.090     119.894257      -0.254300      26.003710      5.00      5.00     1.928    52.021    13.359      0.00    -15.00    0
   39     1.022     119.892693      -0.209110      26.003710      5.00      5.00     1.581    58.061     9.903      5.00    -15.00    0
   40     0.971     119.891121      -0.163920      26.003710      5.00      5.00     2.359    62.469     7.876     10.00    -15.00    0
   41     0.949     119.889549      -0.118730      26.003710      5.00      5.00     3.793    60.253     9.500     15.00    -15.00    0
   42     0.918     119.887978      -0.073540      26.003710      5.00      5.00     4.419    58.121    14.683     20.00    -15.00    0
   43     0.727     119.886414      -0.028350      26.003710      5.00      5.00   356.156    62.234    11.535     25.00    -15.00    0
   44     0.515     119.884850       0.016840      26.003710      5.00      5.00   345.335    80.048     1.654     30.00    -15.00    0
   45     0.418     119.883278       0.062030      26.003710      5.00      5.00   344.651    53.673    26.279     35.00    -15.00    0
   46     0.367     119.881706       0.107230      26.003710      5.00      5.00   204.166    48.981   105.495     40.00    -15.00    0
   47     0.307     119.880142       0.152420      26.003710      5.00      5.00   182.494    45.151    75.355     45.00    -15.00    0
   48     0.296     119.878571       0.197610      26.003710      5.00      5.00    83.377    55.604    95.125     50.00    -15.00    1
   49     0.365     119.936150      -1.926930      21.335800      5.00      5.00   194.452    78.145    69.598   -185.00    -10.00    0
   50     0.659     119.934578      -1.881740      21.335800      5.00      5.00   197.397    80.518    70.579   -180.00    -10.00    0
   51     0.825     119.933006      -1.836550      21.335800      5.00      5.00   201.503    78.608    66.786   -175.00    -10.00    0
